Timestamp,Source IP,Destination IP,Source Port,Destination Port,Sequence Number,Ack Number,TCP Flags,Window Size,Payload Size,Application
1740861190.369334,150.171.27.254,10.0.0.13,443,50485,1,1,0x0010,16384,1445,Web Browsing (Chrome/Edge)
1740861190.369334,150.171.27.254,10.0.0.13,443,50485,1412,1,0x0010,16384,1445,Web Browsing (Chrome/Edge)
1740861190.369334,150.171.27.254,10.0.0.13,443,50485,2823,1,0x0010,16384,1445,Web Browsing (Chrome/Edge)
1740861190.369334,150.171.27.254,10.0.0.13,443,50485,4234,1,0x0010,16384,1445,Web Browsing (Chrome/Edge)
1740861190.369334,150.171.27.254,10.0.0.13,443,50485,5645,1,0x0018,16384,755,Web Browsing (Chrome/Edge)
1740861190.372787,10.0.0.13,150.171.27.254,50485,443,1,6366,0x0018,1024,114,Web Browsing (Chrome/Edge)
1740861190.373185,10.0.0.13,150.171.27.254,50485,443,81,6366,0x0018,1024,114,Web Browsing (Chrome/Edge)
1740861190.373271,10.0.0.13,150.171.27.254,50485,443,161,6366,0x0018,1024,364,Web Browsing (Chrome/Edge)
1740861190.425947,150.171.27.254,10.0.0.13,443,50485,6366,491,0x0018,16382,493,Web Browsing (Chrome/Edge)
1740861190.425947,150.171.27.254,10.0.0.13,443,50485,6825,491,0x0018,16382,96,Web Browsing (Chrome/Edge)
1740861190.428145,150.171.27.254,10.0.0.13,443,50485,6887,491,0x0018,16382,574,Web Browsing (Chrome/Edge)
1740861190.428583,10.0.0.13,150.171.27.254,50485,443,491,7427,0x0018,1019,65,Web Browsing (Chrome/Edge)
1740861190.428845,150.171.27.254,10.0.0.13,443,50485,7427,491,0x0018,16382,65,Web Browsing (Chrome/Edge)
1740861190.436572,10.0.0.13,150.171.27.254,50485,443,522,7458,0x0018,1019,109,Web Browsing (Chrome/Edge)
1740861190.490683,150.171.27.254,10.0.0.13,443,50485,7458,597,0x0018,16382,228,Web Browsing (Chrome/Edge)
1740861190.490683,150.171.27.254,10.0.0.13,443,50485,7652,597,0x0018,16382,65,Web Browsing (Chrome/Edge)
1740861191.090072,10.0.0.13,10.0.0.138,50487,5431,1,1,0x0018,255,227,Web Browsing (Chrome/Edge)
1740861191.092061,10.0.0.138,10.0.0.13,5431,50487,1,194,0x0010,501,2954,Web Browsing (Chrome/Edge)
1740861191.092061,10.0.0.138,10.0.0.13,5431,50487,2921,194,0x0018,501,219,Web Browsing (Chrome/Edge)
1740861191.107406,10.0.0.13,10.0.0.138,50488,5431,1,1,0x0018,255,229,Web Browsing (Chrome/Edge)
1740861191.111089,10.0.0.138,10.0.0.13,5431,50488,1,196,0x0010,501,1494,Web Browsing (Chrome/Edge)
1740861191.111089,10.0.0.138,10.0.0.13,5431,50488,1461,196,0x0018,501,1326,Web Browsing (Chrome/Edge)
1740861191.314897,13.107.136.254,10.0.0.13,443,50489,1,1,0x0010,16382,5678,Web Browsing (Chrome/Edge)
1740861191.314897,13.107.136.254,10.0.0.13,443,50489,5645,1,0x0018,16382,751,Web Browsing (Chrome/Edge)
1740861191.316268,10.0.0.13,13.107.136.254,50489,443,1,6362,0x0018,1024,114,Web Browsing (Chrome/Edge)
1740861191.316415,10.0.0.13,13.107.136.254,50489,443,81,6362,0x0018,1024,114,Web Browsing (Chrome/Edge)
1740861191.316467,10.0.0.13,13.107.136.254,50489,443,161,6362,0x0018,1024,365,Web Browsing (Chrome/Edge)
1740861191.321927,13.107.136.254,10.0.0.13,443,50489,6362,492,0x0018,16386,493,Web Browsing (Chrome/Edge)
